PERMNO,date,RET
93436,20111118,-0.032067
93436,20111121,-0.025767
93436,20111122,0.009761
93436,20111123,-0.019333
93436,20111125,0.006677
93436,20111128,0.028427
93436,20111129,-0.024877
93436,20111130,0.031181
93436,20111201,-0.004276
93436,20111202,0.021472
93436,20111205,0.033634
93436,20111206,0.013074
93436,20111207,-0.019501
93436,20111208,-0.096519
93436,20111209,0.004856
93436,20111212,-0.020296
93436,20111213,-0.031569
93436,20111214,-0.031239
93436,20111215,0.003155
93436,20111216,-0.021663
93436,20111219,-0.008929
93436,20111220,0.005405
93436,20111221,-0.011828
93436,20111222,0.007254
93436,20111223,0.004681
93436,20111227,0.024014
93436,20111228,-0.002100
93436,20111229,0.007717
93436,20111230,-0.005917
93436,20120103,-0.016807
93436,20120104,-0.013177
93436,20120105,-0.021292
93436,20120106,-0.007743
93436,20120109,0.012635
93436,20120110,0.013578
93436,20120111,0.022085
93436,20120112,0.000708
93436,20120113,-0.193274
93436,20120117,0.167179
93436,20120118,0.007895
93436,20120119,-0.001865
93436,20120120,-0.005979
93436,20120123,0.006391
93436,20120124,0.024281
93436,20120125,0.020058
93436,20120126,0.034680
93436,20120127,0.013476
93436,20120130,0.008183
93436,20120131,-0.016909
93436,20120201,0.017544
93436,20120202,0.022650
93436,20120203,0.029752
93436,20120206,0.020867
93436,20120207,-0.006289
93436,20120208,0.010443
93436,20120209,0.020357
93436,20120210,-0.045427
93436,20120213,0.012540
93436,20120214,0.053350
93436,20120215,0.012964
93436,20120216,0.017262
93436,20120217,0.023113
93436,20120221,-0.013440
93436,20120222,-0.008116
93436,20120223,0.009059
93436,20120224,-0.022589
93436,20120227,-0.003852
93436,20120228,0.005651
93436,20120229,-0.011831
93436,20120301,0.029931
93436,20120302,-0.010753
93436,20120305,-0.007932
93436,20120306,-0.019544
93436,20120307,0.000302
93436,20120308,-0.001510
93436,20120309,0.050499
93436,20120312,0.036557
93436,20120313,0.002222
93436,20120314,-0.022167
93436,20120315,-0.008218
93436,20120316,0.009143
93436,20120319,-0.009626
93436,20120320,-0.000572
93436,20120321,0.005435
93436,20120322,-0.021337
93436,20120323,-0.009302
93436,20120326,0.097418
93436,20120327,0.014438
93436,20120328,-0.002372
93436,20120329,-0.013738
93436,20120330,-0.002411
93436,20120402,-0.017723
93436,20120403,0.039092
93436,20120404,-0.079190
93436,20120405,-0.014857
93436,20120409,-0.038573
93436,20120410,-0.020815
93436,20120411,0.019409
93436,20120412,0.010577
93436,20120413,0.004486
93436,20120416,-0.039893
93436,20120417,-0.000310
93436,20120418,0.013027
93436,20120419,0.015309
93436,20120420,0.000000
93436,20120423,-0.036791
93436,20120424,-0.003757
93436,20120425,0.034255
93436,20120426,0.017624
93436,20120427,-0.004479
93436,20120430,-0.006299
93436,20120501,0.019620
93436,20120502,0.004737
93436,20120503,-0.043606
93436,20120504,-0.019408
93436,20120507,0.020107
93436,20120508,-0.070219
93436,20120509,-0.004306
93436,20120510,0.096474
93436,20120511,-0.021541
93436,20120514,-0.067907
93436,20120515,-0.020958
93436,20120516,-0.008495
93436,20120517,-0.020905
93436,20120518,-0.035352
93436,20120521,0.043904
93436,20120522,0.070212
93436,20120523,0.007470
93436,20120524,-0.022566
93436,20120525,-0.016821
93436,20120529,0.063066
93436,20120530,-0.040391
93436,20120531,-0.029924
93436,20120601,-0.045763
93436,20120604,-0.009591
93436,20120605,0.001076
93436,20120606,0.046937
93436,20120607,-0.009925
93436,20120608,0.039751
93436,20120611,-0.031915
93436,20120612,0.018544
93436,20120613,0.003709
93436,20120614,-0.012765
93436,20120615,0.017693
93436,20120618,0.064527
93436,20120619,0.007852
93436,20120620,0.052664
93436,20120621,-0.047069
93436,20120622,0.049550
93436,20120625,-0.019979
93436,20120626,-0.045304
93436,20120627,0.011072
93436,20120628,-0.017209
93436,20120629,-0.003820
93436,20120702,-0.028444
93436,20120703,0.008553
93436,20120705,0.018591
93436,20120706,-0.007685
93436,20120709,0.016134
93436,20120710,-0.006986
93436,20120711,0.007675
93436,20120712,0.037766
93436,20120713,0.047401
93436,20120716,0.049927
93436,20120717,-0.072581
93436,20120718,-0.035982
93436,20120719,0.003732
93436,20120720,-0.014874
93436,20120723,-0.035546
93436,20120724,-0.026745
93436,20120725,-0.029826
93436,20120726,-0.028325
93436,20120727,0.049058
93436,20120730,-0.073196
93436,20120731,0.002559
93436,20120801,-0.042670
93436,20120802,-0.005714
93436,20120803,0.044828
93436,20120806,0.036670
93436,20120807,0.070039
93436,20120808,-0.038347
93436,20120809,0.011000
93436,20120810,0.018021
93436,20120813,0.041082
93436,20120814,-0.056144
93436,20120815,-0.000680
93436,20120816,0.030612
93436,20120817,-0.009571
93436,20120820,-0.016661
93436,20120821,-0.013555
93436,20120822,0.028856
93436,20120823,0.026043
93436,20120824,-0.040026
93436,20120827,-0.040000
93436,20120828,0.013065
93436,20120829,-0.009760
93436,20120830,0.000000
93436,20120831,0.003872
93436,20120904,-0.013324
93436,20120905,-0.007107
93436,20120906,0.021832
93436,20120907,0.028021
93436,20120910,-0.067462
93436,20120911,0.015711
93436,20120912,0.017266
93436,20120913,0.042433
93436,20120914,0.030868
93436,20120917,0.070747
93436,20120918,-0.036878
93436,20120919,-0.009253
93436,20120920,-0.004831
93436,20120921,-0.028479
93436,20120924,0.021319
93436,20120925,-0.097847
93436,20120926,-0.004338
93436,20120927,0.034495
93436,20120928,0.027729
93436,20121001,-0.004098
93436,20121002,0.021948
93436,20121003,-0.016779
93436,20121004,0.003413
93436,20121005,-0.017347
93436,20121008,0.012461
93436,20121009,-0.030085
93436,20121010,0.001057
93436,20121011,-0.002817
93436,20121012,-0.024011
93436,20121015,-0.011216
93436,20121016,0.026711
93436,20121017,0.027053
93436,20121018,-0.027034
93436,20121019,-0.010699
93436,20121022,0.003965
93436,20121023,0.019390
93436,20121024,-0.034167
93436,20121025,0.003647
93436,20121026,-0.005087
93436,20121031,0.027443
93436,20121101,0.039600
93436,20121102,-0.011188
93436,20121105,0.089279
93436,20121106,-0.011111
93436,20121107,0.012520
93436,20121108,-0.007292
93436,20121109,-0.031619
93436,20121112,0.024736
93436,20121113,0.017519
93436,20121114,-0.007411
93436,20121115,-0.017846
93436,20121116,0.033092
93436,20121119,0.033923
93436,20121120,0.002430
93436,20121121,-0.016061
93436,20121123,-0.010471
93436,20121126,0.004357
93436,20121127,-0.003719
93436,20121128,0.033592
93436,20121129,0.013843
93436,20121130,0.003859
93436,20121203,0.023655
93436,20121204,-0.020797
93436,20121205,-0.005605
93436,20121206,0.005636
93436,20121207,0.007965
93436,20121210,0.011706
93436,20121211,0.020538
93436,20121212,-0.000567
93436,20121213,-0.046795
93436,20121214,0.005951
93436,20121217,0.017450
93436,20121218,0.005523
93436,20121219,0.000578
93436,20121220,-0.005201
93436,20121221,-0.012489
93436,20121224,0.008235
93436,20121226,-0.020128
93436,20121227,0.002977
93436,20121228,-0.013951
93436,20121231,0.019566
93436,20130102,0.043992
93436,20130103,-0.016686
93436,20130104,-0.010641
93436,20130107,-0.001744
93436,20130108,-0.019220
93436,20130109,-0.001188
93436,20130110,-0.003270
93436,20130111,-0.018491
93436,20130114,0.010635
93436,20130115,0.019242
93436,20130116,0.005900
93436,20130117,0.008211
93436,20130118,0.004072
93436,20130122,0.019409
93436,20130123,0.023018
93436,20130124,0.027500
93436,20130125,-0.000270
93436,20130128,0.028394
93436,20130129,-0.002104
93436,20130130,-0.011331
93436,20130131,-0.000267
93436,20130201,0.021061
93436,20130204,-0.014621
93436,20130205,0.010334
93436,20130206,0.027275
93436,20130207,0.007914
93436,20130208,-0.006079
93436,20130211,-0.020897
93436,20130212,-0.013795
93436,20130213,0.014780
93436,20130214,-0.003901
93436,20130215,-0.032898
93436,20130219,0.060475
93436,20130220,-0.018839
93436,20130221,-0.087701
93436,20130222,0.027019
93436,20130225,-0.047909
93436,20130226,0.001454
93436,20130227,0.019460
93436,20130228,-0.007692
93436,20130301,-0.005168
93436,20130304,0.026840
93436,20130305,0.030073
93436,20130306,0.028376
93436,20130307,0.014327
93436,20130308,0.006278
93436,20130311,0.016376
93436,20130312,0.000512
93436,20130313,-0.003579
93436,20130314,-0.054643
93436,20130315,-0.042334
93436,20130318,-0.003967
93436,20130319,-0.001991
93436,20130320,0.024800
93436,20130321,0.001669
93436,20130322,0.016940
93436,20130325,0.024850
93436,20130326,0.008793
93436,20130327,0.007924
93436,20130328,-0.007075
93436,20130401,0.159409
93436,20130402,0.009333
93436,20130403,-0.073072
93436,20130404,0.022141
93436,20130405,-0.015234
93436,20130408,0.011119
93436,20130409,-0.031795
93436,20130410,0.033580
93436,20130411,0.041328
93436,20130412,0.003671
93436,20130415,-0.010286
93436,20130416,0.052887
93436,20130417,-0.003071
93436,20130418,0.033443
93436,20130419,0.018310
93436,20130422,0.049341
93436,20130423,0.016338
93436,20130424,-0.011370
93436,20130425,0.031132
93436,20130426,-0.015385
93436,20130429,0.073047
93436,20130430,-0.017292
93436,20130501,-0.013151
93436,20130502,0.015578
93436,20130503,0.008132
93436,20130506,0.090742
93436,20130507,-0.067059
93436,20130508,0.004981
93436,20130509,0.244029
93436,20130510,0.106109
93436,20130513,0.143765
93436,20130514,-0.051936
93436,20130515,0.019246
93436,20130516,0.087292
93436,20130517,-0.008109
93436,20130520,-0.017049
93436,20130521,-0.026129
93436,20130522,-0.003996
93436,20130523,0.062930
93436,20130524,0.046910
93436,20130528,0.136527
93436,20130529,-0.051707
93436,20130530,0.003068
93436,20130531,-0.068509
93436,20130603,-0.052885
93436,20130604,0.024301
93436,20130605,0.005588
93436,20130606,0.020761
93436,20130607,0.048177
93436,20130610,-0.019502
93436,20130611,-0.055772
93436,20130612,0.034508
93436,20130613,0.004604
93436,20130614,0.021593
93436,20130617,0.018943
93436,20130618,0.011644
93436,20130619,0.012477
93436,20130620,-0.038498
93436,20130621,-0.010929
93436,20130624,0.019488
93436,20130625,0.008966
93436,20130626,0.032422
93436,20130627,0.033390
93436,20130628,-0.017300
93436,20130701,0.091459
93436,20130702,0.005470
93436,20130703,-0.021898
93436,20130705,0.042086
93436,20130708,0.012657
93436,20130709,0.015130
93436,20130710,-0.009559
93436,20130711,0.027317
93436,20130712,0.034153
93436,20130715,-0.020323
93436,20130716,-0.143093
93436,20130717,0.102705
93436,20130718,-0.010146
93436,20130719,0.005461
93436,20130722,0.022978
93436,20130723,0.002532
93436,20130724,-0.008473
93436,20130725,0.019474
93436,20130726,0.042879
93436,20130729,0.040420
93436,20130730,-0.021393
93436,20130731,0.019280
93436,20130801,0.009458
93436,20130802,0.018074
93436,20130805,0.048406
93436,20130806,-0.017487
93436,20130807,-0.055716
93436,20130808,0.143411
93436,20130809,-0.003127
93436,20130812,-0.036732
93436,20130813,-0.013231
93436,20130814,-0.041738
93436,20130815,0.002224
93436,20130816,0.016682
93436,20130819,0.020422
93436,20130820,0.032298
93436,20130821,-0.011499
93436,20130822,0.062492
93436,20130823,0.030165
93436,20130826,0.014712
93436,20130827,0.016989
93436,20130828,-0.003353
93436,20130829,-0.002343
93436,20130830,0.017704
93436,20130903,-0.000355
93436,20130904,0.009956
93436,20130905,-0.004056
